cname,NumCurrElaBenchmark,PctElaBenchmark,NumCurrMathBenchmark,PctMathBenchmark,TotNumBothBenchmark,PctBothBenchmark
Alameda,128,63.73338983050848,102,46.627118644067814,99.62711864406779,44.29542372881355
Amador,39,90.0,30,69.375,29.5,68.33500000000001
Butte,61,86.03444444444443,51,68.42666666666668,49.0,64.62222222222222
Calaveras,64,86.52000000000001,53,72.185,51.0,68.855
Colusa,22,56.06666666666666,14,37.13666666666666,13.333333333333334,33.77
Contra Costa,158,72.38352941176471,121,53.221764705882336,118.26470588235294,51.065294117647056
Del Norte,56,77.78,42,58.33,39.0,54.17
El Dorado,118,90.16857142857144,106,75.46714285714286,101.85714285714286,71.17
Fresno,121,61.08444444444444,72,35.62916666666668,67.38888888888889,32.8175
Glenn,21,67.54333333333334,12,39.46,11.666666666666666,37.79333333333333
Humboldt,39,82.20875,29,60.86875,28.0,57.987500000000004
Imperial,88,73.07714285714285,55,44.85000000000001,51.142857142857146,41.77142857142858
Inyo,23,48.555,15,29.145,14.0,27.255
Kern,97,65.97290322580645,61,40.24225806451613,57.645161290322584,37.8516129032258
Kings,50,63.784285714285716,31,38.84571428571428,29.428571428571427,36.27
Lake,26,71.006,15,40.279999999999994,13.8,37.172000000000004
Lassen,49,74.24,35,53.03,32.0,48.48
Los Angeles,119,57.73928366762183,77,34.29581661891117,73.80229226361031,32.09452722063038
Madera,79,69.47500000000001,43,36.70166666666666,40.0,34.77
Marin,118,87.76777777777777,94,68.54555555555555,93.88888888888889,67.99777777777778
Mariposa,31,86.11,24,66.67,23.0,63.89
Mendocino,34,77.57666666666667,26,56.085,25.5,54.925000000000004
Merced,74,62.068461538461534,40,33.2623076923077,38.23076923076923,31.35692307692308
Modoc,10,58.405,5,33.185,5.5,33.185
Mono,35,94.59,26,70.27,26.0,70.27
Monterey,83,64.862,50,40.263999999999996,47.6,38.20199999999999
Napa,95,74.71666666666665,65,48.72,62.833333333333336,47.09166666666667
Nevada,48,90.58599999999998,37,69.67999999999999,36.6,68.036
Orange,221,76.51599999999999,176,60.086400000000005,170.22666666666666,57.76266666666666
Placer,158,89.345,125,68.39875,123.1875,66.945
Plumas,19,83.51,15,62.815,15.0,62.815
Riverside,163,59.95942857142857,98,35.18571428571428,92.95714285714286,32.731428571428566
Sacramento,104,67.48526315789474,77,44.63070175438595,73.01754385964912,42.10175438596492
San Benito,118,69.57,85,48.33,79.0,44.82
San Bernardino,150,63.53123076923078,94,38.67661538461539,87.66153846153846,35.99784615384615
San Diego,149,77.02623762376241,112,54.157029702970284,108.78217821782178,52.17435643564355
San Francisco,124,65.56111111111109,108,50.82500000000001,100.22222222222223,45.781111111111116
San Joaquin,82,73.71114285714286,56,49.05485714285713,53.142857142857146,46.264571428571436
San Luis Obispo,109,87.55888888888889,89,69.89888888888889,86.77777777777777,67.68444444444444
San Mateo,148,83.42833333333331,128,69.36722222222222,125.22222222222223,67.22611111111111